# OCT iter        343;   J_T =   7.646551943858E-04;   pulse_id =          1
# converged
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  5.00100020004000823E-03 -1.20305401499297415E-02  1.01040940675108191E-02
  1.50030006001200256E-02 -1.07945253479937803E-01  9.03327458628510882E-02
  2.50050010002000403E-02 -2.98870709190551476E-01  2.49217742791191438E-01
  3.50070014002800550E-02 -5.83750132124986831E-01  4.85066680244989334E-01
  4.50090018003600767E-02 -9.61407731662384246E-01  7.96134106971711275E-01
  5.50110022004400914E-02 -1.43054849806249051E+00  1.18062277287665252E+00
  6.50130026005201062E-02 -1.98975817968502811E+00  1.63668504489394029E+00
  7.50150030006001278E-02 -2.63750344919124569E+00  2.16242449011066507E+00
  8.50170034006801356E-02 -3.37213226656536325E+00  2.75589762480177969E+00
  9.50190038007601573E-02 -4.19187444648766938E+00  3.41511582749223441E+00
  1.05021004200840179E-01 -5.09484243724557828E+00  4.13804741360797301E+00
  1.15023004600920187E-01 -6.07903231798570864E+00  4.92261986871170176E+00
  1.25025005001000195E-01 -7.14232502068603115E+00  5.76672223674377893E+00
  1.35027005401080230E-01 -8.28248778276576481E+00  6.66820765910339208E+00
  1.45029005801160238E-01 -9.49717583574647861E+00  7.62489605981594920E+00
  1.55031006201240246E-01 -1.07839343348371433E+01  8.63457697143576475E+00
  1.65033006601320281E-01 -1.21402005337342054E+01  9.69501249573598933E+00
  1.75035007001400289E-01 -1.35633062083056259E+01  1.08039403926389923E+01
  1.85037007401480297E-01 -1.50504803321730591E+01  1.19590772902424849E+01
  1.95039007801560332E-01 -1.65988520065048455E+01  1.31581220082050212E+01
  2.05041008201640340E-01 -1.82054536456067098E+01  1.43987589861689731E+01
  2.15043008601720348E-01 -1.98672244191231293E+01  1.56786618083201787E+01
  2.25045009001800383E-01 -2.15810139508678631E+01  1.69954968146242003E+01
  2.35047009401880391E-01 -2.33435862734621260E+01  1.83469267887284566E+01
  2.45049009801960399E-01 -2.51516240371045292E+01  1.97306147119933684E+01
  2.55051010202040407E-01 -2.70017329698977520E+01  2.11442275726077931E+01
  2.65053010602120442E-01 -2.88904465862491335E+01  2.25854402182708327E+01
