#    row  column                  Re(val)                  Im(val)
      53      52   1.0000000000000000E+00  -0.0000000000000000E+00
      54      53   1.1180339887498949E+00  -0.0000000000000000E+00
      56      55   5.0000000000000000E-01  -0.0000000000000000E+00
      57      56   7.0710678118654757E-01  -0.0000000000000000E+00
      58      57   8.6602540378443860E-01  -0.0000000000000000E+00
      59      58   1.0000000000000000E+00  -0.0000000000000000E+00
      60      59   1.1180339887498949E+00  -0.0000000000000000E+00
      62      61   5.0000000000000000E-01  -0.0000000000000000E+00
      63      62   7.0710678118654757E-01  -0.0000000000000000E+00
      64      63   8.6602540378443860E-01  -0.0000000000000000E+00
      65      64   1.0000000000000000E+00  -0.0000000000000000E+00
      66      65   1.1180339887498949E+00  -0.0000000000000000E+00
      68      67   5.0000000000000000E-01  -0.0000000000000000E+00
      69      68   7.0710678118654757E-01  -0.0000000000000000E+00
      70      69   8.6602540378443860E-01  -0.0000000000000000E+00
      71      70   1.0000000000000000E+00  -0.0000000000000000E+00
      72      71   1.1180339887498949E+00  -0.0000000000000000E+00
      74      73   5.0000000000000000E-01  -0.0000000000000000E+00
      75      74   7.0710678118654757E-01  -0.0000000000000000E+00
      76      75   8.6602540378443860E-01  -0.0000000000000000E+00
      77      76   1.0000000000000000E+00  -0.0000000000000000E+00
      78      77   1.1180339887498949E+00  -0.0000000000000000E+00
      80      79   5.0000000000000000E-01  -0.0000000000000000E+00
      81      80   7.0710678118654757E-01  -0.0000000000000000E+00
      82      81   8.6602540378443860E-01  -0.0000000000000000E+00
      83      82   1.0000000000000000E+00  -0.0000000000000000E+00
      84      83   1.1180339887498949E+00  -0.0000000000000000E+00
      86      85   5.0000000000000000E-01  -0.0000000000000000E+00
      87      86   7.0710678118654757E-01  -0.0000000000000000E+00
      88      87   8.6602540378443860E-01  -0.0000000000000000E+00
      89      88   1.0000000000000000E+00  -0.0000000000000000E+00
      90      89   1.1180339887498949E+00  -0.0000000000000000E+00
      92      91   5.0000000000000000E-01  -0.0000000000000000E+00
      93      92   7.0710678118654757E-01  -0.0000000000000000E+00
      94      93   8.6602540378443860E-01  -0.0000000000000000E+00
      95      94   1.0000000000000000E+00  -0.0000000000000000E+00
      96      95   1.1180339887498949E+00  -0.0000000000000000E+00
      98      97   5.0000000000000000E-01  -0.0000000000000000E+00
      99      98   7.0710678118654757E-01  -0.0000000000000000E+00
     100      99   8.6602540378443860E-01  -0.0000000000000000E+00
     101     100   1.0000000000000000E+00  -0.0000000000000000E+00
     102     101   1.1180339887498949E+00  -0.0000000000000000E+00
     104     103   5.0000000000000000E-01  -0.0000000000000000E+00
     105     104   7.0710678118654757E-01  -0.0000000000000000E+00
     106     105   8.6602540378443860E-01  -0.0000000000000000E+00
     107     106   1.0000000000000000E+00  -0.0000000000000000E+00
     108     107   1.1180339887498949E+00  -0.0000000000000000E+00
