#    row  column                  Re(val)                  Im(val)
      25      20   1.4000000000000000E+02   0.0000000000000000E+00
      25      25  -1.9899999999999998E+03   0.0000000000000000E+00
      26      21   1.9798989873223331E+02   0.0000000000000000E+00
      26      26  -1.7224999999999998E+03   0.0000000000000000E+00
      26      55   7.0000000000000000E+01   0.0000000000000000E+00
      27      22   2.4248711305964281E+02   0.0000000000000000E+00
      27      27  -1.4549999999999995E+03   0.0000000000000000E+00
      27      56   9.8994949366116657E+01   0.0000000000000000E+00
      28      23   2.8000000000000000E+02   0.0000000000000000E+00
      28      28  -1.1875000000000000E+03   0.0000000000000000E+00
      28      57   1.2124355652982140E+02   0.0000000000000000E+00
      29      24   3.1304951684997059E+02   0.0000000000000000E+00
      29      29  -9.1999999999999977E+02   0.0000000000000000E+00
      29      58   1.4000000000000000E+02   0.0000000000000000E+00
      30      30  -6.5249999999999955E+02   0.0000000000000000E+00
      30      59   1.5652475842498529E+02   0.0000000000000000E+00
      31       2   7.0000000000000000E+01   0.0000000000000000E+00
      31      31   6.7500000000000000E+01   0.0000000000000000E+00
      32       3   9.8994949366116657E+01   0.0000000000000000E+00
      32      32   3.3500000000000000E+02   0.0000000000000000E+00
      32      37   7.0000000000000000E+01   0.0000000000000000E+00
      32      61   9.8994949366116657E+01   0.0000000000000000E+00
      33       4   1.2124355652982140E+02   0.0000000000000000E+00
      33      33   6.0250000000000011E+02   0.0000000000000000E+00
      33      38   9.8994949366116657E+01   0.0000000000000000E+00
      33      62   1.4000000000000003E+02   0.0000000000000000E+00
      34       5   1.4000000000000000E+02   0.0000000000000000E+00
      34      34   8.6999999999999989E+02   0.0000000000000000E+00
      34      39   1.2124355652982140E+02   0.0000000000000000E+00
      34      63   1.7146428199482247E+02   0.0000000000000000E+00
      35       6   1.5652475842498529E+02   0.0000000000000000E+00
      35      35   1.1375000000000000E+03   0.0000000000000000E+00
      35      40   1.4000000000000000E+02   0.0000000000000000E+00
      35      64   1.9798989873223331E+02   0.0000000000000000E+00
      36      36   1.4050000000000002E+03   0.0000000000000000E+00
      36      41   1.5652475842498529E+02   0.0000000000000000E+00
      36      65   2.2135943621178657E+02   0.0000000000000000E+00
      37       8   7.0000000000000000E+01   0.0000000000000000E+00
      37      32   7.0000000000000000E+01   0.0000000000000000E+00
      37      37   3.5000000000000000E+01   0.0000000000000000E+00
      38       9   9.8994949366116657E+01   0.0000000000000000E+00
      38      33   9.8994949366116657E+01   0.0000000000000000E+00
      38      38   3.0250000000000000E+02   0.0000000000000000E+00
      38      43   9.8994949366116657E+01   0.0000000000000000E+00
      38      67   9.8994949366116657E+01   0.0000000000000000E+00
      39      10   1.2124355652982140E+02   0.0000000000000000E+00
      39      34   1.2124355652982140E+02   0.0000000000000000E+00
      39      39   5.7000000000000011E+02   0.0000000000000000E+00
      39      44   1.4000000000000003E+02   0.0000000000000000E+00
      39      68   1.4000000000000003E+02   0.0000000000000000E+00
      40      11   1.4000000000000000E+02   0.0000000000000000E+00
      40      35   1.4000000000000000E+02   0.0000000000000000E+00
      40      40   8.3749999999999989E+02   0.0000000000000000E+00
      40      45   1.7146428199482247E+02   0.0000000000000000E+00
      40      69   1.7146428199482247E+02   0.0000000000000000E+00
      41      12   1.5652475842498529E+02   0.0000000000000000E+00
      41      36   1.5652475842498529E+02   0.0000000000000000E+00
      41      41   1.1050000000000000E+03   0.0000000000000000E+00
      41      46   1.9798989873223331E+02   0.0000000000000000E+00
      41      70   1.9798989873223331E+02   0.0000000000000000E+00
      42      42   1.3725000000000002E+03   0.0000000000000000E+00
      42      47   2.2135943621178657E+02   0.0000000000000000E+00
      42      71   2.2135943621178657E+02   0.0000000000000000E+00
      43      14   7.0000000000000000E+01   0.0000000000000000E+00
      43      38   9.8994949366116657E+01   0.0000000000000000E+00
      43      43  -3.0750000000000006E+02   0.0000000000000000E+00
      44      15   9.8994949366116657E+01   0.0000000000000000E+00
      44      39   1.4000000000000003E+02   0.0000000000000000E+00
      44      44  -4.0000000000000057E+01   0.0000000000000000E+00
      44      49   1.2124355652982140E+02   0.0000000000000000E+00
      44      73   9.8994949366116657E+01   0.0000000000000000E+00
      45      16   1.2124355652982140E+02   0.0000000000000000E+00
      45      40   1.7146428199482247E+02   0.0000000000000000E+00
      45      45   2.2750000000000006E+02   0.0000000000000000E+00
      45      50   1.7146428199482247E+02   0.0000000000000000E+00
      45      74   1.4000000000000003E+02   0.0000000000000000E+00
      46      17   1.4000000000000000E+02   0.0000000000000000E+00
      46      41   1.9798989873223331E+02   0.0000000000000000E+00
      46      46   4.9499999999999983E+02   0.0000000000000000E+00
      46      51   2.0999999999999997E+02   0.0000000000000000E+00
      46      75   1.7146428199482247E+02   0.0000000000000000E+00
      47      18   1.5652475842498529E+02   0.0000000000000000E+00
      47      42   2.2135943621178657E+02   0.0000000000000000E+00
      47      47   7.6250000000000000E+02   0.0000000000000000E+00
      47      52   2.4248711305964281E+02   0.0000000000000000E+00
      47      76   1.9798989873223331E+02   0.0000000000000000E+00
      48      48   1.0300000000000002E+03   0.0000000000000000E+00
      48      53   2.7110883423451918E+02   0.0000000000000000E+00
      48      77   2.2135943621178657E+02   0.0000000000000000E+00
      49      20   7.0000000000000000E+01   0.0000000000000000E+00
      49      44   1.2124355652982140E+02   0.0000000000000000E+00
      49      49  -9.6000000000000011E+02   0.0000000000000000E+00
      50      21   9.8994949366116657E+01   0.0000000000000000E+00
      50      45   1.7146428199482247E+02   0.0000000000000000E+00
      50      50  -6.9250000000000011E+02   0.0000000000000000E+00
      50      55   1.4000000000000000E+02   0.0000000000000000E+00
      50      79   9.8994949366116657E+01   0.0000000000000000E+00
      51      22   1.2124355652982140E+02   0.0000000000000000E+00
      51      46   2.0999999999999997E+02   0.0000000000000000E+00
      51      51  -4.2500000000000000E+02   0.0000000000000000E+00
      51      56   1.9798989873223331E+02   0.0000000000000000E+00
      51      80   1.4000000000000003E+02   0.0000000000000000E+00
      52      23   1.4000000000000000E+02   0.0000000000000000E+00
      52      47   2.4248711305964281E+02   0.0000000000000000E+00
      52      52  -1.5750000000000023E+02   0.0000000000000000E+00
      52      57   2.4248711305964281E+02   0.0000000000000000E+00
      52      81   1.7146428199482247E+02   0.0000000000000000E+00
      53      24   1.5652475842498529E+02   0.0000000000000000E+00
      53      48   2.7110883423451918E+02   0.0000000000000000E+00
      53      53   1.0999999999999989E+02   0.0000000000000000E+00
      53      58   2.8000000000000000E+02   0.0000000000000000E+00
      53      82   1.9798989873223331E+02   0.0000000000000000E+00
      54      54   3.7750000000000011E+02   0.0000000000000000E+00
      54      59   3.1304951684997059E+02   0.0000000000000000E+00
      54      83   2.2135943621178657E+02   0.0000000000000000E+00
      55      26   7.0000000000000000E+01   0.0000000000000000E+00
      55      50   1.4000000000000000E+02   0.0000000000000000E+00
      55      55  -1.9224999999999998E+03   0.0000000000000000E+00
      56      27   9.8994949366116657E+01   0.0000000000000000E+00
      56      51   1.9798989873223331E+02   0.0000000000000000E+00
      56      56  -1.6549999999999998E+03   0.0000000000000000E+00
      56      85   9.8994949366116657E+01   0.0000000000000000E+00
      57      28   1.2124355652982140E+02   0.0000000000000000E+00
      57      52   2.4248711305964281E+02   0.0000000000000000E+00
      57      57  -1.3874999999999995E+03   0.0000000000000000E+00
      57      86   1.4000000000000003E+02   0.0000000000000000E+00
      58      29   1.4000000000000000E+02   0.0000000000000000E+00
      58      53   2.8000000000000000E+02   0.0000000000000000E+00
      58      58  -1.1200000000000000E+03   0.0000000000000000E+00
      58      87   1.7146428199482247E+02   0.0000000000000000E+00
      59      30   1.5652475842498529E+02   0.0000000000000000E+00
      59      54   3.1304951684997059E+02   0.0000000000000000E+00
      59      59  -8.5249999999999977E+02   0.0000000000000000E+00
      59      88   1.9798989873223331E+02   0.0000000000000000E+00
      60      60  -5.8499999999999955E+02   0.0000000000000000E+00
      60      89   2.2135943621178657E+02   0.0000000000000000E+00
      61      32   9.8994949366116657E+01   0.0000000000000000E+00
      61      61  -1.5500000000000003E+02   0.0000000000000000E+00
      62      33   1.4000000000000003E+02   0.0000000000000000E+00
      62      62   1.1249999999999997E+02   0.0000000000000000E+00
      62      67   7.0000000000000000E+01   0.0000000000000000E+00
      62      91   1.2124355652982140E+02   0.0000000000000000E+00
      63      34   1.7146428199482247E+02   0.0000000000000000E+00
      63      63   3.8000000000000011E+02   0.0000000000000000E+00
      63      68   9.8994949366116657E+01   0.0000000000000000E+00
      63      92   1.7146428199482247E+02   0.0000000000000000E+00
      64      35   1.9798989873223331E+02   0.0000000000000000E+00
      64      64   6.4749999999999989E+02   0.0000000000000000E+00
      64      69   1.2124355652982140E+02   0.0000000000000000E+00
      64      93   2.0999999999999997E+02   0.0000000000000000E+00
      65      36   2.2135943621178657E+02   0.0000000000000000E+00
      65      65   9.1500000000000000E+02   0.0000000000000000E+00
      65      70   1.4000000000000000E+02   0.0000000000000000E+00
      65      94   2.4248711305964281E+02   0.0000000000000000E+00
      66      66   1.1825000000000002E+03   0.0000000000000000E+00
      66      71   1.5652475842498529E+02   0.0000000000000000E+00
      66      95   2.7110883423451918E+02   0.0000000000000000E+00
      67      38   9.8994949366116657E+01   0.0000000000000000E+00
      67      62   7.0000000000000000E+01   0.0000000000000000E+00
      67      67  -1.8750000000000003E+02   0.0000000000000000E+00
      68      39   1.4000000000000003E+02   0.0000000000000000E+00
      68      63   9.8994949366116657E+01   0.0000000000000000E+00
      68      68   7.9999999999999972E+01   0.0000000000000000E+00
      68      73   9.8994949366116657E+01   0.0000000000000000E+00
      68      97   1.2124355652982140E+02   0.0000000000000000E+00
      69      40   1.7146428199482247E+02   0.0000000000000000E+00
      69      64   1.2124355652982140E+02   0.0000000000000000E+00
      69      69   3.4750000000000011E+02   0.0000000000000000E+00
      69      74   1.4000000000000003E+02   0.0000000000000000E+00
      69      98   1.7146428199482247E+02   0.0000000000000000E+00
      70      41   1.9798989873223331E+02   0.0000000000000000E+00
      70      65   1.4000000000000000E+02   0.0000000000000000E+00
      70      70   6.1499999999999989E+02   0.0000000000000000E+00
      70      75   1.7146428199482247E+02   0.0000000000000000E+00
      70      99   2.0999999999999997E+02   0.0000000000000000E+00
      71      42   2.2135943621178657E+02   0.0000000000000000E+00
      71      66   1.5652475842498529E+02   0.0000000000000000E+00
      71      71   8.8250000000000000E+02   0.0000000000000000E+00
      71      76   1.9798989873223331E+02   0.0000000000000000E+00
      71     100   2.4248711305964281E+02   0.0000000000000000E+00
      72      72   1.1500000000000002E+03   0.0000000000000000E+00
      72      77   2.2135943621178657E+02   0.0000000000000000E+00
      72     101   2.7110883423451918E+02   0.0000000000000000E+00
      73      44   9.8994949366116657E+01   0.0000000000000000E+00
      73      68   9.8994949366116657E+01   0.0000000000000000E+00
      73      73  -5.3000000000000011E+02   0.0000000000000000E+00
      74      45   1.4000000000000003E+02   0.0000000000000000E+00
      74      69   1.4000000000000003E+02   0.0000000000000000E+00
      74      74  -2.6250000000000011E+02   0.0000000000000000E+00
      74      79   1.2124355652982140E+02   0.0000000000000000E+00
      74     103   1.2124355652982140E+02   0.0000000000000000E+00
      75      46   1.7146428199482247E+02   0.0000000000000000E+00
      75      70   1.7146428199482247E+02   0.0000000000000000E+00
      75      75   5.0000000000000000E+00   0.0000000000000000E+00
      75      80   1.7146428199482247E+02   0.0000000000000000E+00
      75     104   1.7146428199482247E+02   0.0000000000000000E+00
      76      47   1.9798989873223331E+02   0.0000000000000000E+00
      76      71   1.9798989873223331E+02   0.0000000000000000E+00
      76      76   2.7249999999999977E+02   0.0000000000000000E+00
      76      81   2.0999999999999997E+02   0.0000000000000000E+00
      76     105   2.0999999999999997E+02   0.0000000000000000E+00
      77      48   2.2135943621178657E+02   0.0000000000000000E+00
      77      72   2.2135943621178657E+02   0.0000000000000000E+00
      77      77   5.3999999999999989E+02   0.0000000000000000E+00
      77      82   2.4248711305964281E+02   0.0000000000000000E+00
      77     106   2.4248711305964281E+02   0.0000000000000000E+00
      78      78   8.0750000000000011E+02   0.0000000000000000E+00
      78      83   2.7110883423451918E+02   0.0000000000000000E+00
      78     107   2.7110883423451918E+02   0.0000000000000000E+00
      79      50   9.8994949366116657E+01   0.0000000000000000E+00
      79      74   1.2124355652982140E+02   0.0000000000000000E+00
      79      79  -1.1825000000000000E+03   0.0000000000000000E+00
      80      51   1.4000000000000003E+02   0.0000000000000000E+00
      80      75   1.7146428199482247E+02   0.0000000000000000E+00
      80      80  -9.1500000000000000E+02   0.0000000000000000E+00
      80      85   1.4000000000000000E+02   0.0000000000000000E+00
      80     109   1.2124355652982140E+02   0.0000000000000000E+00
      81      52   1.7146428199482247E+02   0.0000000000000000E+00
