# OCT iter       1519;   J_T =   5.984794090181E-03;   pulse_id =          1
# converged
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  1.33816908454227113E+00  4.09618698217775687E+01  5.12161216881187187E+01
  1.36318159079539769E+00  4.13478184434787863E+01  5.07592698610059259E+01
  1.38819409704852426E+00  4.17724459462904747E+01  5.03129830704611649E+01
  1.41320660330165082E+00  4.22375978910537313E+01  4.98873707852795505E+01
  1.43821910955477739E+00  4.27445518100439372E+01  4.94921690193240451E+01
  1.46323161580790395E+00  4.32940091450269833E+01  4.91366488214679791E+01
  1.48824412206103052E+00  4.38860930060334766E+01  4.88295308403957478E+01
  1.51325662831415708E+00  4.45203516239938679E+01  4.85789067527242935E+01
  1.53826913456728365E+00  4.51957673240616984E+01  4.83921682483347340E+01
  1.56328164082041021E+00  4.59107708030620714E+01  4.82759441651473580E+01
  1.58829414707353678E+00  4.66632604540488742E+01  4.82360462583304255E+01
  1.61330665332666312E+00  4.74506264433216529E+01  4.82774239778728074E+01
  1.63831915957978969E+00  4.82697792105414010E+01  4.84041285151407052E+01
  1.66333166583291625E+00  4.91171820307732574E+01  4.86192862653212856E+01
  1.68834417208604282E+00  4.99888872485601965E+01  4.89250817401226428E+01
  1.71335667833916938E+00  5.08805757686231672E+01  4.93227498555025647E+01
  1.73836918459229595E+00  5.17875993656994140E+01  4.98125774140511481E+01
  1.76338169084542251E+00  5.27050253575762255E+01  5.03939135025221674E+01
  1.78839419709854908E+00  5.36276831706537678E+01  5.10651884332244208E+01
  1.81340670335167564E+00  5.45502123162905690E+01  5.18239407748607306E+01
  1.83841920960480221E+00  5.54671112881377724E+01  5.26668519448912988E+01
  1.86343171585792877E+00  5.63727868840240021E+01  5.35897877722044171E+01
  1.88844422211105534E+00  5.72616034468585724E+01  5.45878463850483939E+01
  1.91345672836418190E+00  5.81279314993682803E+01  5.56554117307851541E+01
  1.93846923461730847E+00  5.89661952011623427E+01  5.67862119783044506E+01
  1.96348174087043503E+00  5.97709179535981718E+01  5.79733819560651824E+01
  1.98849424712356160E+00  6.05367652668225986E+01  5.92095285506630589E+01
  2.01350675337668816E+00  6.12653679782476033E+01  6.04936047198892553E+01
  2.03851925962981495E+00  6.19871971104803094E+01  6.18534829712530936E+01
  2.06353176588294129E+00  6.27037187753552487E+01  6.32883608171752954E+01
