# Formula "1freq_rwa" with E0 = 100.0, T = 50, w_L = 5.9325, w_d = 5.9325
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  6.87843921960980542E-01  6.74233717653946463E-02  0.00000000000000000E+00
  7.12856428214107107E-01  7.24304292522237603E-02  0.00000000000000000E+00
  7.37868934467233673E-01  7.76183976714694968E-02  0.00000000000000000E+00
  7.62881440720360238E-01  8.29874959945006707E-02  0.00000000000000000E+00
  7.87893946973486803E-01  8.85379506124939208E-02  0.00000000000000000E+00
  8.12906453226613368E-01  9.42699953231471155E-02  0.00000000000000000E+00
  8.37918959479739933E-01  1.00183871316970874E-01  0.00000000000000000E+00
  8.62931465732866498E-01  1.06279827163127671E-01  0.00000000000000000E+00
  8.87943971985993064E-01  1.12558118794854611E-01  0.00000000000000000E+00
  9.12956478239119629E-01  1.19019009494433781E-01  0.00000000000000000E+00
  9.37968984492246194E-01  1.25662769877731006E-01  0.00000000000000000E+00
  9.62981490745372759E-01  1.32489677878332157E-01  0.00000000000000000E+00
  9.87993996998499324E-01  1.39500018731177067E-01  0.00000000000000000E+00
  1.01300650325162578E+00  1.46694084955849291E-01  0.00000000000000000E+00
  1.03801900950475234E+00  1.54072176339341282E-01  0.00000000000000000E+00
  1.06303151575787891E+00  1.61634599918493438E-01  0.00000000000000000E+00
  1.08804402201100547E+00  1.69381669961905790E-01  0.00000000000000000E+00
  1.11305652826413204E+00  1.77313707951458344E-01  0.00000000000000000E+00
  1.13806903451725860E+00  1.85431042563444226E-01  0.00000000000000000E+00
  1.16308154077038517E+00  1.93734009649194905E-01  0.00000000000000000E+00
  1.18809404702351173E+00  2.02222952215354301E-01  0.00000000000000000E+00
  1.21310655327663830E+00  2.10898220403667180E-01  0.00000000000000000E+00
  1.23811905952976486E+00  2.19760171470394228E-01  0.00000000000000000E+00
  1.26313156578289143E+00  2.28809169765255283E-01  0.00000000000000000E+00
  1.28814407203601800E+00  2.38045586709971502E-01  0.00000000000000000E+00
  1.31315657828914456E+00  2.47469800776413396E-01  0.00000000000000000E+00
  1.33816908454227113E+00  2.57082197464268691E-01  0.00000000000000000E+00
  1.36318159079539769E+00  2.66883169278335497E-01  0.00000000000000000E+00
  1.38819409704852426E+00  2.76873115705368600E-01  0.00000000000000000E+00
  1.41320660330165082E+00  2.87052443190548290E-01  0.00000000000000000E+00
  1.43821910955477739E+00  2.97421565113462072E-01  0.00000000000000000E+00
  1.46323161580790395E+00  3.07980901763736659E-01  0.00000000000000000E+00
  1.48824412206103052E+00  3.18730880316230036E-01  0.00000000000000000E+00
  1.51325662831415708E+00  3.29671934805791933E-01  0.00000000000000000E+00
  1.53826913456728365E+00  3.40804506101646809E-01  0.00000000000000000E+00
  1.56328164082041021E+00  3.52129041881318883E-01  0.00000000000000000E+00
  1.58829414707353678E+00  3.63645996604196331E-01  0.00000000000000000E+00
  1.61330665332666334E+00  3.75355831484647240E-01  0.00000000000000000E+00
  1.63831915957978991E+00  3.87259014464745588E-01  0.00000000000000000E+00
  1.66333166583291647E+00  3.99356020186579508E-01  0.00000000000000000E+00
  1.68834417208604304E+00  4.11647329964168196E-01  0.00000000000000000E+00
  1.71335667833916960E+00  4.24133431754951384E-01  0.00000000000000000E+00
  1.73836918459229617E+00  4.36814820130891623E-01  0.00000000000000000E+00
  1.76338169084542273E+00  4.49691996249171333E-01  0.00000000000000000E+00
  1.78839419709854930E+00  4.62765467822490173E-01  0.00000000000000000E+00
  1.81340670335167586E+00  4.76035749088939142E-01  0.00000000000000000E+00
  1.83841920960480243E+00  4.89503360781516628E-01  0.00000000000000000E+00
  1.86343171585792899E+00  5.03168830097218356E-01  0.00000000000000000E+00
  1.88844422211105556E+00  5.17032690665729433E-01  0.00000000000000000E+00
  1.91345672836418212E+00  5.31095482517733641E-01  0.00000000000000000E+00
  1.93846923461730869E+00  5.45357752052821887E-01  0.00000000000000000E+00
  1.96348174087043525E+00  5.59820052007033109E-01  0.00000000000000000E+00
  1.98849424712356182E+00  5.74482941419940385E-01  0.00000000000000000E+00
  2.01350675337668861E+00  5.89346985601428619E-01  0.00000000000000000E+00
  2.03851925962981539E+00  6.04412756098023030E-01  0.00000000000000000E+00
  2.06353176588294174E+00  6.19680830658862813E-01  0.00000000000000000E+00
  2.08854427213606808E+00  6.35151793201285675E-01  0.00000000000000000E+00
  2.11355677838919487E+00  6.50826233776000129E-01  0.00000000000000000E+00
  2.13856928464232166E+00  6.66704748531912750E-01  0.00000000000000000E+00
  2.16358179089544800E+00  6.82787939680579159E-01  0.00000000000000000E+00
  2.18859429714857434E+00  6.99076415460221590E-01  0.00000000000000000E+00
  2.21360680340170113E+00  7.15570790099424814E-01  0.00000000000000000E+00
  2.23861930965482792E+00  7.32271683780438831E-01  0.00000000000000000E+00
  2.26363181590795426E+00  7.49179722602091869E-01  0.00000000000000000E+00
  2.28864432216108060E+00  7.66295538542351107E-01  0.00000000000000000E+00
  2.31365682841420739E+00  7.83619769420501600E-01  0.00000000000000000E+00
  2.33866933466733418E+00  8.01153058858949940E-01  0.00000000000000000E+00
  2.36368184092046052E+00  8.18896056244680648E-01  0.00000000000000000E+00
  2.38869434717358686E+00  8.36849416690327308E-01  0.00000000000000000E+00
  2.41370685342671365E+00  8.55013800994880446E-01  0.00000000000000000E+00
  2.43871935967984044E+00  8.73389875604042798E-01  0.00000000000000000E+00
  2.46373186593296678E+00  8.91978312570207432E-01  0.00000000000000000E+00
  2.48874437218609312E+00  9.10779789512096372E-01  0.00000000000000000E+00
  2.51375687843921991E+00  9.29794989574032948E-01  0.00000000000000000E+00
  2.53876938469234670E+00  9.49024601384847122E-01  0.00000000000000000E+00
  2.56378189094547304E+00  9.68469319016430852E-01  0.00000000000000000E+00
  2.58879439719859938E+00  9.88129841941963516E-01  0.00000000000000000E+00
  2.61380690345172617E+00  1.00800687499374719E+00  0.00000000000000000E+00
  2.63881940970485296E+00  1.02810112832073797E+00  0.00000000000000000E+00
  2.66383191595797930E+00  1.04841331734567822E+00  0.00000000000000000E+00
  2.68884442221110564E+00  1.06894416272193893E+00  0.00000000000000000E+00
  2.71385692846423243E+00  1.08969439028996362E+00  0.00000000000000000E+00
  2.73886943471735922E+00  1.11066473103342567E+00  0.00000000000000000E+00
  2.76388194097048556E+00  1.13185592103500565E+00  0.00000000000000000E+00
  2.78889444722361191E+00  1.15326870143184013E+00  0.00000000000000000E+00
  2.81390695347673869E+00  1.17490381837063929E+00  0.00000000000000000E+00
  2.83891945972986548E+00  1.19676202296248047E+00  0.00000000000000000E+00
  2.86393196598299182E+00  1.21884407123723704E+00  0.00000000000000000E+00
  2.88894447223611817E+00  1.24115072409772464E+00  0.00000000000000000E+00
  2.91395697848924495E+00  1.26368274727347374E+00  0.00000000000000000E+00
  2.93896948474237174E+00  1.28644091127421212E+00  0.00000000000000000E+00
  2.96398199099549808E+00  1.30942599134298643E+00  0.00000000000000000E+00
  2.98899449724862443E+00  1.33263876740900433E+00  0.00000000000000000E+00
  3.01400700350175121E+00  1.35608002404010786E+00  0.00000000000000000E+00
  3.03901950975487800E+00  1.37975055039499384E+00  0.00000000000000000E+00
  3.06403201600800434E+00  1.40365114017504533E+00  0.00000000000000000E+00
  3.08904452226113069E+00  1.42778259157588439E+00  0.00000000000000000E+00
  3.11405702851425747E+00  1.45214570723864167E+00  0.00000000000000000E+00
  3.13906953476738426E+00  1.47674129420085620E+00  0.00000000000000000E+00
  3.16408204102051061E+00  1.50157016384711928E+00  0.00000000000000000E+00
  3.18909454727363695E+00  1.52663313185937843E+00  0.00000000000000000E+00
  3.21410705352676374E+00  1.55193101816695478E+00  0.00000000000000000E+00
  3.23911955977989052E+00  1.57746464689626076E+00  0.00000000000000000E+00
  3.26413206603301687E+00  1.60323484632020752E+00  0.00000000000000000E+00
  3.28914457228614321E+00  1.62924244880732272E+00  0.00000000000000000E+00
  3.31415707853927000E+00  1.65548829077058191E+00  0.00000000000000000E+00
  3.33916958479239678E+00  1.68197321261591637E+00  0.00000000000000000E+00
  3.36418209104552313E+00  1.70869805869048119E+00  0.00000000000000000E+00
  3.38919459729864947E+00  1.73566367723058179E+00  0.00000000000000000E+00
  3.41420710355177626E+00  1.76287092030936932E+00  0.00000000000000000E+00
  3.43921960980490304E+00  1.79032064378417388E+00  0.00000000000000000E+00
  3.46423211605802939E+00  1.81801370724365774E+00  0.00000000000000000E+00
  3.48924462231115573E+00  1.84595097395460694E+00  0.00000000000000000E+00
  3.51425712856428252E+00  1.87413331080849210E+00  0.00000000000000000E+00
  3.53926963481740930E+00  1.90256158826771493E+00  0.00000000000000000E+00
  3.56428214107053565E+00  1.93123668031164053E+00  0.00000000000000000E+00
  3.58929464732366199E+00  1.96015946438229127E+00  0.00000000000000000E+00
  3.61430715357678878E+00  1.98933082132985239E+00  0.00000000000000000E+00
  3.63931965982991557E+00  2.01875163535781255E+00  0.00000000000000000E+00
  3.66433216608304191E+00  2.04842279396795002E+00  0.00000000000000000E+00
  3.68934467233616825E+00  2.07834518790497436E+00  0.00000000000000000E+00
  3.71435717858929504E+00  2.10851971110095260E+00  0.00000000000000000E+00
  3.73936968484242183E+00  2.13894726061946505E+00  0.00000000000000000E+00
  3.76438219109554817E+00  2.16962873659952304E+00  0.00000000000000000E+00
  3.78939469734867451E+00  2.20056504219921045E+00  0.00000000000000000E+00
  3.81440720360180130E+00  2.23175708353910096E+00  0.00000000000000000E+00
  3.83941970985492809E+00  2.26320576964541464E+00  0.00000000000000000E+00
  3.86443221610805443E+00  2.29491201239294806E+00  0.00000000000000000E+00
  3.88944472236118077E+00  2.32687672644773302E+00  0.00000000000000000E+00
  3.91445722861430756E+00  2.35910082920949549E+00  0.00000000000000000E+00
  3.93946973486743435E+00  2.39158524075384538E+00  0.00000000000000000E+00
  3.96448224112056069E+00  2.42433088377425410E+00  0.00000000000000000E+00
  3.98949474737368703E+00  2.45733868352378515E+00  0.00000000000000000E+00
  4.01450725362681382E+00  2.49060956775662623E+00  0.00000000000000000E+00
  4.03951975987994061E+00  2.52414446666934511E+00  0.00000000000000000E+00
  4.06453226613306740E+00  2.55794431284195944E+00  0.00000000000000000E+00
  4.08954477238619329E+00  2.59201004117879474E+00  0.00000000000000000E+00
  4.11455727863932008E+00  2.62634258884908967E+00  0.00000000000000000E+00
  4.13956978489244687E+00  2.66094289522740057E+00  0.00000000000000000E+00
  4.16458229114557277E+00  2.69581190183382002E+00  0.00000000000000000E+00
  4.18959479739869955E+00  2.73095055227392258E+00  0.00000000000000000E+00
  4.21460730365182634E+00  2.76635979217855610E+00  0.00000000000000000E+00
  4.23961980990495313E+00  2.80204056914344024E+00  0.00000000000000000E+00
  4.26463231615807992E+00  2.83799383266847816E+00  0.00000000000000000E+00
  4.28964482241120582E+00  2.87422053409697265E+00  0.00000000000000000E+00
  4.31465732866433260E+00  2.91072162655455768E+00  0.00000000000000000E+00
  4.33966983491745939E+00  2.94749806488800781E+00  0.00000000000000000E+00
  4.36468234117058529E+00  2.98455080560379660E+00  0.00000000000000000E+00
  4.38969484742371208E+00  3.02188080680650195E+00  0.00000000000000000E+00
  4.41470735367683886E+00  3.05948902813700041E+00  0.00000000000000000E+00
  4.43971985992996565E+00  3.09737643071049584E+00  0.00000000000000000E+00
  4.46473236618309244E+00  3.13554397705437315E+00  0.00000000000000000E+00
  4.48974487243621834E+00  3.17399263104583840E+00  0.00000000000000000E+00
  4.51475737868934512E+00  3.21272335784941188E+00  0.00000000000000000E+00
  4.53976988494247191E+00  3.25173712385425828E+00  0.00000000000000000E+00
  4.56478239119559781E+00  3.29103489661128767E+00  0.00000000000000000E+00
  4.58979489744872460E+00  3.33061764477018318E+00  0.00000000000000000E+00
  4.61480740370185138E+00  3.37048633801617248E+00  0.00000000000000000E+00
  4.63981990995497817E+00  3.41064194700666912E+00  0.00000000000000000E+00
  4.66483241620810496E+00  3.45108544330779576E+00  0.00000000000000000E+00
  4.68984492246123086E+00  3.49181779933067782E+00  0.00000000000000000E+00
  4.71485742871435765E+00  3.53283998826764023E+00  0.00000000000000000E+00
  4.73986993496748443E+00  3.57415298402823245E+00  0.00000000000000000E+00
  4.76488244122061033E+00  3.61575776117508152E+00  0.00000000000000000E+00
  4.78989494747373712E+00  3.65765529485965324E+00  0.00000000000000000E+00
  4.81490745372686391E+00  3.69984656075781881E+00  0.00000000000000000E+00
  4.83991995997999069E+00  3.74233253500530028E+00  0.00000000000000000E+00
  4.86493246623311748E+00  3.78511419413299066E+00  0.00000000000000000E+00
  4.88994497248624338E+00  3.82819251500213209E+00  0.00000000000000000E+00
  4.91495747873937017E+00  3.87156847473934818E+00  0.00000000000000000E+00
  4.93996998499249695E+00  3.91524305067155831E+00  0.00000000000000000E+00
  4.96498249124562285E+00  3.95921722026076672E+00  0.00000000000000000E+00
  4.98999499749874964E+00  4.00349196103873783E+00  0.00000000000000000E+00
  5.01500750375187643E+00  4.04806825054152419E+00  0.00000000000000000E+00
  5.04002001000500321E+00  4.09294706624391402E+00  0.00000000000000000E+00
  5.06503251625813000E+00  4.13812938549372156E+00  0.00000000000000000E+00
