#    row  column                  Re(val)                  Im(val)
      67      68   5.0000000000000000E-01   0.0000000000000000E+00
      68      69   7.0710678118654757E-01   0.0000000000000000E+00
      69      70   8.6602540378443860E-01   0.0000000000000000E+00
      70      71   1.0000000000000000E+00   0.0000000000000000E+00
      71      72   1.1180339887498949E+00   0.0000000000000000E+00
      73      74   5.0000000000000000E-01   0.0000000000000000E+00
      74      75   7.0710678118654757E-01   0.0000000000000000E+00
      75      76   8.6602540378443860E-01   0.0000000000000000E+00
      76      77   1.0000000000000000E+00   0.0000000000000000E+00
      77      78   1.1180339887498949E+00   0.0000000000000000E+00
      79      80   5.0000000000000000E-01   0.0000000000000000E+00
      80      81   7.0710678118654757E-01   0.0000000000000000E+00
      81      82   8.6602540378443860E-01   0.0000000000000000E+00
      82      83   1.0000000000000000E+00   0.0000000000000000E+00
      83      84   1.1180339887498949E+00   0.0000000000000000E+00
      85      86   5.0000000000000000E-01   0.0000000000000000E+00
      86      87   7.0710678118654757E-01   0.0000000000000000E+00
      87      88   8.6602540378443860E-01   0.0000000000000000E+00
      88      89   1.0000000000000000E+00   0.0000000000000000E+00
      89      90   1.1180339887498949E+00   0.0000000000000000E+00
      91      92   5.0000000000000000E-01   0.0000000000000000E+00
      92      93   7.0710678118654757E-01   0.0000000000000000E+00
      93      94   8.6602540378443860E-01   0.0000000000000000E+00
      94      95   1.0000000000000000E+00   0.0000000000000000E+00
      95      96   1.1180339887498949E+00   0.0000000000000000E+00
      97      98   5.0000000000000000E-01   0.0000000000000000E+00
      98      99   7.0710678118654757E-01   0.0000000000000000E+00
      99     100   8.6602540378443860E-01   0.0000000000000000E+00
     100     101   1.0000000000000000E+00   0.0000000000000000E+00
     101     102   1.1180339887498949E+00   0.0000000000000000E+00
     103     104   5.0000000000000000E-01   0.0000000000000000E+00
     104     105   7.0710678118654757E-01   0.0000000000000000E+00
     105     106   8.6602540378443860E-01   0.0000000000000000E+00
     106     107   1.0000000000000000E+00   0.0000000000000000E+00
     107     108   1.1180339887498949E+00   0.0000000000000000E+00
     109     110   5.0000000000000000E-01   0.0000000000000000E+00
     110     111   7.0710678118654757E-01   0.0000000000000000E+00
     111     112   8.6602540378443860E-01   0.0000000000000000E+00
     112     113   1.0000000000000000E+00   0.0000000000000000E+00
     113     114   1.1180339887498949E+00   0.0000000000000000E+00
     115     116   5.0000000000000000E-01   0.0000000000000000E+00
     116     117   7.0710678118654757E-01   0.0000000000000000E+00
     117     118   8.6602540378443860E-01   0.0000000000000000E+00
     118     119   1.0000000000000000E+00   0.0000000000000000E+00
     119     120   1.1180339887498949E+00   0.0000000000000000E+00
     121     122   5.0000000000000000E-01   0.0000000000000000E+00
     122     123   7.0710678118654757E-01   0.0000000000000000E+00
     123     124   8.6602540378443860E-01   0.0000000000000000E+00
     124     125   1.0000000000000000E+00   0.0000000000000000E+00
     125     126   1.1180339887498949E+00   0.0000000000000000E+00
     127     128   5.0000000000000000E-01   0.0000000000000000E+00
     128     129   7.0710678118654757E-01   0.0000000000000000E+00
     129     130   8.6602540378443860E-01   0.0000000000000000E+00
     130     131   1.0000000000000000E+00   0.0000000000000000E+00
     131     132   1.1180339887498949E+00   0.0000000000000000E+00
     133     134   5.0000000000000000E-01   0.0000000000000000E+00
     134     135   7.0710678118654757E-01   0.0000000000000000E+00
     135     136   8.6602540378443860E-01   0.0000000000000000E+00
     136     137   1.0000000000000000E+00   0.0000000000000000E+00
     137     138   1.1180339887498949E+00   0.0000000000000000E+00
     139     140   5.0000000000000000E-01   0.0000000000000000E+00
     140     141   7.0710678118654757E-01   0.0000000000000000E+00
     141     142   8.6602540378443860E-01   0.0000000000000000E+00
     142     143   1.0000000000000000E+00   0.0000000000000000E+00
     143     144   1.1180339887498949E+00   0.0000000000000000E+00
     145     146   5.0000000000000000E-01   0.0000000000000000E+00
     146     147   7.0710678118654757E-01   0.0000000000000000E+00
     147     148   8.6602540378443860E-01   0.0000000000000000E+00
     148     149   1.0000000000000000E+00   0.0000000000000000E+00
     149     150   1.1180339887498949E+00   0.0000000000000000E+00
