# Formula "1freq_rwa" with E0 = 120.0, T = 50, w_L = 5.9325, w_d = 5.9325
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  8.12906453226613368E-01  1.13123994387776539E-01  0.00000000000000000E+00
  8.37918959479739933E-01  1.20220645580365049E-01  0.00000000000000000E+00
  8.62931465732866498E-01  1.27535792595753206E-01  0.00000000000000000E+00
  8.87943971985993064E-01  1.35069742553825534E-01  0.00000000000000000E+00
  9.12956478239119629E-01  1.42822811393320537E-01  0.00000000000000000E+00
  9.37968984492246194E-01  1.50795323853277208E-01  0.00000000000000000E+00
  9.62981490745372759E-01  1.58987613453998589E-01  0.00000000000000000E+00
  9.87993996998499324E-01  1.67400022477412480E-01  0.00000000000000000E+00
  1.01300650325162578E+00  1.76032901947019149E-01  0.00000000000000000E+00
  1.03801900950475234E+00  1.84886611607209539E-01  0.00000000000000000E+00
  1.06303151575787891E+00  1.93961519902192125E-01  0.00000000000000000E+00
  1.08804402201100547E+00  2.03258003954286948E-01  0.00000000000000000E+00
  1.11305652826413204E+00  2.12776449541750012E-01  0.00000000000000000E+00
  1.13806903451725860E+00  2.22517251076133071E-01  0.00000000000000000E+00
  1.16308154077038517E+00  2.32480811579033886E-01  0.00000000000000000E+00
  1.18809404702351173E+00  2.42667542658425162E-01  0.00000000000000000E+00
  1.21310655327663830E+00  2.53077864484400616E-01  0.00000000000000000E+00
  1.23811905952976486E+00  2.63712205764473073E-01  0.00000000000000000E+00
  1.26313156578289143E+00  2.74571003718306339E-01  0.00000000000000000E+00
  1.28814407203601800E+00  2.85654704051965802E-01  0.00000000000000000E+00
  1.31315657828914456E+00  2.96963760931696075E-01  0.00000000000000000E+00
  1.33816908454227113E+00  3.08498636957122430E-01  0.00000000000000000E+00
  1.36318159079539769E+00  3.20259803134002596E-01  0.00000000000000000E+00
  1.38819409704852426E+00  3.32247738846442320E-01  0.00000000000000000E+00
  1.41320660330165082E+00  3.44462931828657948E-01  0.00000000000000000E+00
  1.43821910955477739E+00  3.56905878136154486E-01  0.00000000000000000E+00
  1.46323161580790395E+00  3.69577082116483990E-01  0.00000000000000000E+00
  1.48824412206103052E+00  3.82477056379476044E-01  0.00000000000000000E+00
  1.51325662831415708E+00  3.95606321766950320E-01  0.00000000000000000E+00
  1.53826913456728365E+00  4.08965407321976171E-01  0.00000000000000000E+00
  1.56328164082041021E+00  4.22554850257582659E-01  0.00000000000000000E+00
  1.58829414707353678E+00  4.36375195925035597E-01  0.00000000000000000E+00
  1.61330665332666334E+00  4.50426997781576688E-01  0.00000000000000000E+00
  1.63831915957978991E+00  4.64710817357694705E-01  0.00000000000000000E+00
  1.66333166583291647E+00  4.79227224223895409E-01  0.00000000000000000E+00
  1.68834417208604304E+00  4.93976795957001835E-01  0.00000000000000000E+00
  1.71335667833916960E+00  5.08960118105941661E-01  0.00000000000000000E+00
  1.73836918459229617E+00  5.24177784157069948E-01  0.00000000000000000E+00
  1.76338169084542273E+00  5.39630395499005600E-01  0.00000000000000000E+00
  1.78839419709854930E+00  5.55318561386988208E-01  0.00000000000000000E+00
  1.81340670335167586E+00  5.71242898906726970E-01  0.00000000000000000E+00
  1.83841920960480243E+00  5.87404032937819953E-01  0.00000000000000000E+00
  1.86343171585792899E+00  6.03802596116662094E-01  0.00000000000000000E+00
  1.88844422211105556E+00  6.20439228798875253E-01  0.00000000000000000E+00
  1.91345672836418212E+00  6.37314579021280303E-01  0.00000000000000000E+00
  1.93846923461730869E+00  6.54429302463386264E-01  0.00000000000000000E+00
  1.96348174087043525E+00  6.71784062408439797E-01  0.00000000000000000E+00
  1.98849424712356182E+00  6.89379529703928462E-01  0.00000000000000000E+00
  2.01350675337668861E+00  7.07216382721714276E-01  0.00000000000000000E+00
  2.03851925962981539E+00  7.25295307317627702E-01  0.00000000000000000E+00
  2.06353176588294174E+00  7.43616996790635310E-01  0.00000000000000000E+00
  2.08854427213606808E+00  7.62182151841542810E-01  0.00000000000000000E+00
  2.11355677838919487E+00  7.80991480531200155E-01  0.00000000000000000E+00
  2.13856928464232166E+00  8.00045698238295300E-01  0.00000000000000000E+00
  2.16358179089544800E+00  8.19345527616694991E-01  0.00000000000000000E+00
  2.18859429714857434E+00  8.38891698552265974E-01  0.00000000000000000E+00
  2.21360680340170113E+00  8.58684948119309843E-01  0.00000000000000000E+00
  2.23861930965482792E+00  8.78726020536526597E-01  0.00000000000000000E+00
  2.26363181590795426E+00  8.99015667122510242E-01  0.00000000000000000E+00
  2.28864432216108060E+00  9.19554646250821395E-01  0.00000000000000000E+00
  2.31365682841420739E+00  9.40343723304601919E-01  0.00000000000000000E+00
  2.33866933466733418E+00  9.61383670630739928E-01  0.00000000000000000E+00
  2.36368184092046052E+00  9.82675267493616778E-01  0.00000000000000000E+00
  2.38869434717358686E+00  1.00421930002839277E+00  0.00000000000000000E+00
  2.41370685342671365E+00  1.02601656119385654E+00  0.00000000000000000E+00
  2.43871935967984044E+00  1.04806785072485154E+00  0.00000000000000000E+00
