#    index                  Re[Psi]
         3   8.6106122075577995E-02
         8  -2.8110945464040787E-01
        13  -7.4234930338721430E-02
        32  -1.8434869896656003E-01
        37   9.2745999469056595E-01
        61  -1.1783845216394968E-01
