#       x [dimensionless]               E_01 [MHz]               E_10 [MHz]               E_11 [MHz]               E_20 [MHz]               E_02 [MHz]              E_cav [MHz]                 w1 [MHz]                 w2 [MHz]                 wc [MHz]
  -2.2727272727272725E+00   5.3126152574647276E+03   5.9785869773844024E+03   1.1290734338029717E+04   1.1690731667294807E+04   1.0318131069413146E+04   6.2269795833328390E+03   6.0000000000000000E+03   5.3181818181818180E+03   6.2000000000000000E+03
  -2.2121212121212119E+00   5.3306791813739692E+03   5.9786049195275045E+03   1.1308789994435334E+04   1.1690756120548584E+04   1.0354366668833143E+04   6.2270795354623042E+03   6.0000000000000000E+03   5.3363636363636360E+03   6.2000000000000000E+03
  -2.1515151515151514E+00   5.3487379657879719E+03   5.9786238750766497E+03   1.1326838999245672E+04   1.1690783409270465E+04   1.0390598204301081E+04   6.2271836136809652E+03   6.0000000000000000E+03   5.3545454545454550E+03   6.2000000000000000E+03
  -2.0909090909090908E+00   5.3667912631934432E+03   5.9786439322776141E+03   1.1344880720058809E+04   1.1690814215477680E+04   1.0426825477863353E+04   6.2272920772562156E+03   6.0000000000000000E+03   5.3727272727272730E+03   6.2000000000000000E+03
  -2.0303030303030303E+00   5.3848386934968294E+03   5.9786651899146891E+03   1.1362914424083836E+04   1.1690849594633219E+04   1.0463048278372589E+04   6.2274052074977008E+03   6.0000000000000000E+03   5.3909090909090910E+03   6.2000000000000000E+03
  -1.9696969696969697E+00   5.4028798400277883E+03   5.9786877589294527E+03   1.1380939253699406E+04   1.1690891419436724E+04   1.0499266380355453E+04   6.2275233101338090E+03   6.0000000000000000E+03   5.4090909090909090E+03   6.2000000000000000E+03
  -1.9090909090909092E+00   5.4209142449240389E+03   5.9787117643480960E+03   1.1398954193714664E+04   1.1690943830160733E+04   1.0535479542760062E+04   6.2276467180007166E+03   6.0000000000000000E+03   5.4272727272727270E+03   6.2000000000000000E+03
  -1.8484848484848484E+00   5.4389414037773458E+03   5.9787373475859567E+03   1.1416958026680251E+04   1.1691020230800654E+04   1.0571687507567236E+04   6.2277757940913725E+03   6.0000000000000000E+03   5.4454545454545460E+03   6.2000000000000000E+03
  -1.7878787878787878E+00   5.4569607593948385E+03   5.9787646692192720E+03   1.1434949270601290E+04   1.1691225767254509E+04   1.0607889998247636E+04   6.2279109350223735E+03   6.0000000000000000E+03   5.4636363636363640E+03   6.2000000000000000E+03
  -1.7272727272727273E+00   5.4749716944940519E+03   5.9787939123381875E+03   1.1452926090084678E+04   1.1690772903158893E+04   1.0644086718044207E+04   6.2280525749860899E+03   6.0000000000000000E+03   5.4818181818181820E+03   6.2000000000000000E+03
  -1.6666666666666665E+00   5.4929735231038521E+03   5.9788252866278126E+03   1.1470886166256805E+04   1.1691016591936061E+04   1.0680277348055668E+04   6.2282011902683362E+03   6.0000000000000000E+03   5.5000000000000000E+03   6.2000000000000000E+03
  -1.6060606060606060E+00   5.5109654803852172E+03   5.9788590333688699E+03   1.1488826500679221E+04   1.1691128779374405E+04   1.0716461545092963E+04   6.2283573044278673E+03   6.0000000000000000E+03   5.5181818181818180E+03   6.2000000000000000E+03
  -1.5454545454545454E+00   5.5289467105051590E+03   5.9788954316070813E+03   1.1506743109803727E+04   1.1691235394791307E+04   1.0752638939275646E+04   6.2285214942515158E+03   6.0000000000000000E+03   5.5363636363636360E+03   6.2000000000000000E+03
  -1.4848484848484849E+00   5.5469162520973978E+03   5.9789348058245314E+03   1.1524630530412045E+04   1.1691354817339103E+04   1.0788809131330154E+04   6.2286943966235231E+03   6.0000000000000000E+03   5.5545454545454550E+03   6.2000000000000000E+03
  -1.4242424242424243E+00   5.5648730206990367E+03   5.9789775355541133E+03   1.1542480983009795E+04   1.1691497715495927E+04   1.0824971689543650E+04   6.2288767164742967E+03   6.0000000000000000E+03   5.5727272727272730E+03   6.2000000000000000E+03
  -1.3636363636363635E+00   5.5828157873647069E+03   5.9790240675352252E+03   1.1560282881317042E+04   1.1691676191002887E+04   1.0861126146319839E+04   6.2290692360093090E+03   6.0000000000000000E+03   5.5909090909090910E+03   6.2000000000000000E+03
  -1.3030303030303030E+00   5.6007431523985288E+03   5.9790749312298722E+03   1.1578018007445273E+04   1.1691908114774538E+04   1.0897271994272756E+04   6.2292728254626563E+03   6.0000000000000000E+03   5.6090909090909090E+03   6.2000000000000000E+03
  -1.2424242424242424E+00   5.6186535127725874E+03   5.9791307588279014E+03   1.1595655742466064E+04   1.1692223327312087E+04   1.0933408681781235E+04   6.2294884556723555E+03   6.0000000000000000E+03   5.6272727272727270E+03   6.2000000000000000E+03
  -1.1818181818181817E+00   5.6365450212821452E+03   5.9791923113298690E+03   1.1613140151990301E+04   1.1692676698870688E+04   1.0969535607911501E+04   6.2297172128426828E+03   6.0000000000000000E+03   5.6454545454545460E+03   6.2000000000000000E+03
  -1.1212121212121211E+00   5.6544155347288688E+03   5.9792605129648582E+03   1.1630357646418452E+04   1.1693380517750724E+04   1.1005652116596066E+04   6.2299603159427934E+03   6.0000000000000000E+03   5.6636363636363640E+03   6.2000000000000000E+03
  -1.0606060606060606E+00   5.6722625473102016E+03   5.9793364972099953E+03   1.1647044794413827E+04   1.1694596684664013E+04   1.1041757489932083E+04   6.2302191372981397E+03   6.0000000000000000E+03   5.6818181818181820E+03   6.2000000000000000E+03
  -1.0000000000000000E+00   5.6900831037162625E+03   5.9794216692180089E+03   1.1662498731230189E+04   1.1697026291203045E+04   1.1077850940430662E+04   6.2304952270657286E+03   6.0000000000000000E+03   5.7000000000000000E+03   6.2000000000000000E+03
  -9.3939393939393945E-01   5.7078736838605691E+03   5.9795177918632908E+03   1.1674884717652607E+04   1.1702502033892073E+04   1.1113931602009696E+04   6.2307903424581018E+03   6.0000000000000000E+03   5.7181818181818180E+03   6.2000000000000000E+03
  -8.7878787878787890E-01   5.7256300471130598E+03   5.9796271064498433E+03   1.1713188478306081E+04   1.1682035837401176E+04   1.1149998519468390E+04   6.2311064828008675E+03   6.0000000000000000E+03   5.7363636363636360E+03   6.2000000000000000E+03
  -8.1818181818181834E-01   5.7433470173528913E+03   5.9797525053967402E+03   1.1727805495445748E+04   1.1685229510846208E+04   1.1186050636114873E+04   6.2314459317959700E+03   6.0000000000000000E+03   5.7545454545454540E+03   6.2000000000000000E+03
  -7.5757575757575735E-01   5.7610181792508956E+03   5.9798977847461647E+03   1.1744070613626198E+04   1.1686745080466560E+04   1.1222086779121986E+04   6.2318113087303791E+03   6.0000000000000000E+03   5.7727272727272730E+03   6.2000000000000000E+03
  -6.9696969696969679E-01   5.7786354374777584E+03   5.9800680225784672E+03   1.1760980483888990E+04   1.1687582267701131E+04   1.1258105642059687E+04   6.2322056308530155E+03   6.0000000000000000E+03   5.7909090909090910E+03   6.2000000000000000E+03
  -6.3636363636363624E-01   5.7961883572620718E+03   5.9802701620571897E+03   1.1778168316773357E+04   1.1688103640028967E+04   1.1294105763868814E+04   6.2326323897717884E+03   6.0000000000000000E+03   5.8090909090909090E+03   6.2000000000000000E+03
  -5.7575757575757569E-01   5.8136631432745971E+03   5.9805139384474905E+03   1.1795481342026500E+04   1.1688457032275068E+04   1.1330085503268592E+04   6.2330956455506403E+03   6.0000000000000000E+03   5.8272727272727270E+03   6.2000000000000000E+03
  -5.1515151515151514E-01   5.8310409954490242E+03   5.9808134067259161E+03   1.1812844613451103E+04   1.1688711594244516E+04   1.1366043007169195E+04   6.2336001432797566E+03   6.0000000000000000E+03   5.8454545454545450E+03   6.2000000000000000E+03
  -4.5454545454545459E-01   5.8482953416522651E+03   5.9811895636457120E+03   1.1830215143223380E+04   1.1688903473180166E+04   1.1401976170950336E+04   6.2341514583385360E+03   6.0000000000000000E+03   5.8636363636363640E+03   6.2000000000000000E+03
  -3.9393939393939403E-01   5.8653869417981332E+03   5.9816750615279379E+03   1.1847564213133373E+04   1.1689053274911537E+04   1.1437882587160981E+04   6.2347561784922655E+03   6.0000000000000000E+03   5.8818181818181820E+03   6.2000000000000000E+03
  -3.3333333333333304E-01   5.8822547352850534E+03   5.9823231312041380E+03   1.1864869567486458E+04   1.1689173589350536E+04   1.1473759476466023E+04   6.2354221335108086E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.2000000000000000E+03
  -2.7272727272727249E-01   5.8987977114706737E+03   5.9832254203378689E+03   1.1882111475625730E+04   1.1689272584759223E+04   1.1509603588008205E+04   6.2361586863734119E+03   6.0000000000000000E+03   5.9181818181818180E+03   6.2000000000000000E+03
  -2.1212121212121193E-01   5.9148371064742096E+03   5.9845494253297948E+03   1.1899270429573218E+04   1.1689355911502302E+04   1.1545411036665508E+04   6.2369771045597736E+03   6.0000000000000000E+03   5.9363636363636360E+03   6.2000000000000000E+03
