#       x [dimensionless]               E_01 [MHz]               E_10 [MHz]               E_11 [MHz]               E_20 [MHz]               E_02 [MHz]              E_cav [MHz]                 w1 [MHz]                 w2 [MHz]                 wc [MHz]
  -2.7272727272727275E+00   5.9265936559551046E+03   6.0272708071101997E+03   1.1980502815527921E+04   1.1663783949633795E+04   1.1438381659137056E+04   5.7552264460256047E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.8090909090909090E+03
  -2.5252525252525251E+00   5.9282674289656570E+03   6.0291668283468243E+03   1.1987727445233839E+04   1.1669172017055796E+04   1.1443110812777093E+04   5.7657980659200039E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.8232323232323233E+03
  -2.3232323232323235E+00   5.9300951823977921E+03   6.0312908346381073E+03   1.1995772339442865E+04   1.1674773779683672E+04   1.1446838378445862E+04   5.7759877203378383E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.8373737373737376E+03
  -2.1212121212121211E+00   5.9320850705023258E+03   6.0336758503606179E+03   1.1867822735619404E+04   1.1680849740328551E+04   1.1449872450290284E+04   5.7857542306523465E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.8515151515151520E+03
  -1.9191919191919187E+00   5.9342416887666695E+03   6.0363588598786373E+03   1.1874805368965588E+04   1.1687739345204012E+04   1.1452410073498628E+04   5.7950560170113749E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.8656565656565654E+03
  -1.7171717171717180E+00   5.9365644028990064E+03   6.0393805243259922E+03   1.1881905178559236E+04   1.1695823830675392E+04   1.1454579530352567E+04   5.8038530525731258E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.8797979797979797E+03
  -1.5151515151515156E+00   5.9390456227083341E+03   6.0427844493863886E+03   1.1889326141878404E+04   1.1705395544243300E+04   1.1456466894735146E+04   5.8121093218448150E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.8939393939393940E+03
  -1.3131313131313131E+00   5.9416693539813914E+03   6.0466158760228336E+03   1.1866631142108148E+04   1.1644304578855166E+04   1.1458131870438723E+04   5.8197955780765833E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.9080808080808083E+03
  -1.1111111111111107E+00   5.9444104698845913E+03   6.0509197211260835E+03   1.1879198691742566E+04   1.1651868471467169E+04   1.1459617225640701E+04   5.8268920312116461E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.9222222222222226E+03
  -9.0909090909091006E-01   5.8333904861293777E+03   6.0557380122109826E+03   1.1890425217386703E+04   1.1657739445417945E+04   1.1460954516722115E+04   5.9472351380234031E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.9363636363636360E+03
  -7.0707070707070763E-01   5.8392954653610268E+03   6.0611069329470829E+03   1.1900336163363560E+04   1.1662359379038104E+04   1.1462167651510968E+04   5.9501026521969370E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.9505050505050503E+03
  -5.0505050505050519E-01   5.8446240271054921E+03   6.0670538804656462E+03   1.1909421277803467E+04   1.1666078190389038E+04   1.1463275170339381E+04   5.9529685570754446E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.9646464646464647E+03
  -3.0303030303030276E-01   5.8494042854655154E+03   5.9557885409281598E+03   1.1918236473792151E+04   1.1669144648991318E+04   1.1464291747351226E+04   6.0735950523942001E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.9787878787878790E+03
  -1.0101010101010033E-01   5.8536729420740667E+03   5.9585222981491170E+03   1.1927181820159829E+04   1.1671729244500217E+04   1.1465229205114563E+04   6.0807340527062552E+03   6.0000000000000000E+03   5.9000000000000000E+03   5.9929292929292933E+03
   1.0101010101010033E-01   5.8574723260863102E+03   5.9611365744249415E+03   1.1936502810212934E+04   1.1673948739417239E+04   1.1466097217517134E+04   6.0884618065596151E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.0070707070707067E+03
   3.0303030303030276E-01   5.8608474562211577E+03   5.9636068968737027E+03   1.1946334459902258E+04   1.1675884404710996E+04   1.1466903808012983E+04   6.0967577681172615E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.0212121212121210E+03
   5.0505050505050519E-01   5.8638435138144778E+03   5.9659179069446036E+03   1.1818688196565614E+04   1.1677594127161959E+04   1.1467655710336832E+04   6.1055921145945904E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.0353535353535353E+03
   7.0707070707070763E-01   5.8665039301952684E+03   5.9680625649655985E+03   1.1825972186913476E+04   1.1679120177417402E+04   1.1468358634748402E+04   6.1149284543340827E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.0494949494949497E+03
   9.0909090909090828E-01   5.8688691220420151E+03   5.9700406683610490E+03   1.1832346112236613E+04   1.1680494182632698E+04   1.1469017468054226E+04   6.1247265732334636E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.0636363636363640E+03
   1.1111111111111107E+00   5.8709757957949914E+03   5.9718571200766019E+03   1.1837904993672455E+04   1.1681740348103885E+04   1.1469636426321435E+04   6.1349448619063332E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.0777777777777774E+03
   1.3131313131313131E+00   5.8728566911874259E+03   5.9735202704650101E+03   1.1842749754475490E+04   1.1682877583119396E+04   1.1470219173201265E+04   6.1455422302667557E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.0919191919191917E+03
   1.5151515151515156E+00   5.8745406283917910E+03   5.9750405147107085E+03   1.1846978244966020E+04   1.1683920933273075E+04   1.1470768912843727E+04   6.1564794629582393E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.1060606060606060E+03
   1.7171717171717162E+00   5.8760527426264953E+03   5.9764292104143688E+03   1.1850679934461148E+04   1.1684882566355021E+04   1.1471288463756917E+04   6.1677200671611572E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.1202020202020203E+03
   1.9191919191919187E+00   5.8774148181654673E+03   5.9776979043177635E+03   1.1853933538360259E+04   1.1685772465313814E+04   1.1471780318176963E+04   6.1792307118603130E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.1343434343434346E+03
   2.1212121212121211E+00   5.8786456609666957E+03   5.9788578197334064E+03   1.1856806603346242E+04   1.1686598925154200E+04   1.1472246690278000E+04   6.1909813677847469E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.1484848484848480E+03
   2.3232323232323235E+00   5.8797614714148367E+03   5.9799195452094718E+03   1.1859356199341149E+04   1.1687368916003579E+04   1.1472689555685916E+04   6.2029452460021130E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.1626262626262624E+03
   2.5252525252525242E+00   5.8807761950194908E+03   5.9808928685419287E+03   1.1861630117807121E+04   1.1688088353075798E+04   1.1473110684139949E+04   6.2150986132062581E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.1767676767676767E+03
   2.7272727272727266E+00   5.8817018400312954E+03   5.9817867100123985E+03   1.1863668210856682E+04   1.1688762300690178E+04   1.1473511666701670E+04   6.2274205408655398E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.1909090909090910E+03
   2.9292929292929291E+00   5.8825487579872770E+03   5.9826091197188625E+03   1.1865503676464721E+04   1.1689395128774939E+04   1.1473893938583687E+04   6.2398926273443667E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.2050505050505053E+03
   3.1313131313131315E+00   5.8833258873878221E+03   5.9833673137235164E+03   1.1867164202572647E+04   1.1689990634586087E+04   1.1474258798429801E+04   6.2524987180807511E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.2191919191919196E+03
