#    index                  Re[Psi]
         3   8.6106122075578051E-02
         8  -2.8110945464040815E-01
        13  -7.4234930338721250E-02
        32  -1.8434869896656017E-01
        37   9.2745999469056606E-01
        61  -1.1783845216394827E-01
