#    row  column                  Re(val)                  Im(val)
      44      49   1.2124355652982140E+02   0.0000000000000000E+00
      44      73   9.8994949366116657E+01   0.0000000000000000E+00
      45      16   1.2124355652982140E+02   0.0000000000000000E+00
      45      40   1.7146428199482247E+02   0.0000000000000000E+00
      45      45   4.7800000000000188E+02   0.0000000000000000E+00
      45      50   1.7146428199482247E+02   0.0000000000000000E+00
      45      74   1.4000000000000003E+02   0.0000000000000000E+00
      46      17   1.4000000000000000E+02   0.0000000000000000E+00
      46      41   1.9798989873223331E+02   0.0000000000000000E+00
      46      46   7.9560000000000196E+02   0.0000000000000000E+00
      46      51   2.0999999999999997E+02   0.0000000000000000E+00
      46      75   1.7146428199482247E+02   0.0000000000000000E+00
      47      18   1.5652475842498529E+02   0.0000000000000000E+00
      47      42   2.2135943621178657E+02   0.0000000000000000E+00
      47      47   1.1132000000000025E+03   0.0000000000000000E+00
      47      52   2.4248711305964281E+02   0.0000000000000000E+00
      47      76   1.9798989873223331E+02   0.0000000000000000E+00
      48      48   1.4308000000000031E+03   0.0000000000000000E+00
      48      53   2.7110883423451918E+02   0.0000000000000000E+00
      48      77   2.2135943621178657E+02   0.0000000000000000E+00
      49      20   7.0000000000000000E+01   0.0000000000000000E+00
      49      44   1.2124355652982140E+02   0.0000000000000000E+00
      49      49  -7.5959999999999866E+02   0.0000000000000000E+00
      50      21   9.8994949366116657E+01   0.0000000000000000E+00
      50      45   1.7146428199482247E+02   0.0000000000000000E+00
      50      50  -4.4199999999999829E+02   0.0000000000000000E+00
      50      55   1.4000000000000000E+02   0.0000000000000000E+00
      50      79   9.8994949366116657E+01   0.0000000000000000E+00
      51      22   1.2124355652982140E+02   0.0000000000000000E+00
      51      46   2.0999999999999997E+02   0.0000000000000000E+00
      51      51  -1.2439999999999782E+02   0.0000000000000000E+00
      51      56   1.9798989873223331E+02   0.0000000000000000E+00
      51      80   1.4000000000000003E+02   0.0000000000000000E+00
      52      23   1.4000000000000000E+02   0.0000000000000000E+00
      52      47   2.4248711305964281E+02   0.0000000000000000E+00
      52      52   1.9320000000000232E+02   0.0000000000000000E+00
      52      57   2.4248711305964281E+02   0.0000000000000000E+00
      52      81   1.7146428199482247E+02   0.0000000000000000E+00
      53      24   1.5652475842498529E+02   0.0000000000000000E+00
      53      48   2.7110883423451918E+02   0.0000000000000000E+00
      53      53   5.1080000000000280E+02   0.0000000000000000E+00
      53      58   2.8000000000000000E+02   0.0000000000000000E+00
      53      82   1.9798989873223331E+02   0.0000000000000000E+00
      54      54   8.2840000000000339E+02   0.0000000000000000E+00
      54      59   3.1304951684997059E+02   0.0000000000000000E+00
      54      83   2.2135943621178657E+02   0.0000000000000000E+00
      55      26   7.0000000000000000E+01   0.0000000000000000E+00
      55      50   1.4000000000000000E+02   0.0000000000000000E+00
      55      55  -1.6719999999999980E+03   0.0000000000000000E+00
      56      27   9.8994949366116657E+01   0.0000000000000000E+00
      56      51   1.9798989873223331E+02   0.0000000000000000E+00
      56      56  -1.3543999999999976E+03   0.0000000000000000E+00
      56      85   9.8994949366116657E+01   0.0000000000000000E+00
      57      28   1.2124355652982140E+02   0.0000000000000000E+00
      57      52   2.4248711305964281E+02   0.0000000000000000E+00
